"drug","formulary_drug_cd"
"AcetaZOLamide S.R.","ACE500"
"Verapamil","VERA120"
"Ondansetron","ZOFR4"
"Dexameth","DEXA10I"
"Folic Acid","FOLI1I"
"HCRF",NULL
"CeftAZIDime","CEFT1F"
"hyosc","LEVS125"
"PHENYLEPHrine","PHEN12SYR"
"Losartan","COZAA50"
"Estradiol","ESTR1"
"MetFORMIN XR (Glucophage XR)","METF750XR"
"Gabapentin","GABA400"
"Captopril","CAPT25"
"Cipro HC","CILO25ES"
"Provera","MEDR10"
"Fluticasone-Salmeterol (250/50) ","ADVA250IH"
"Dexamethasone","DEXA2"
"Aspirin EC","ASA81"
"Insulin","HUMU100I"
"*NF*ESOMEPRAZOLE ",NULL
"Pilocarpine 2%","PILO2ES"
"Epinephrine Inhalation","EPI30H"
"Balsalazide",NULL
"PFNS (Syringe)","PFNS2MLSYR"
"Neo*PO*Vitamin E TPGS 26.7 Unit/ml","NEOVITE26.7L"
"Ceftazidime","CEFT1F"
"Niaspan","NIAC500SR"
"Abacavir Sulfate","ABAC300"
"LeVETiracetam Oral Solution","LEVE1000L"
"NEO*GENTIAN VIOLET SOL.",NULL
"Bacitracin Ointment","BACI15O"
"isos","IMDU30"
"Ropinirole","ROPI1"
"gua","GUAI600T"
"1/2 NS","NS45500"
"Doxycycline Hyclate","DOXY100I"
"album","ALBU5250"
"Nitroglycerin Patch","NTG5P"
"Glucagon Emergency","GLUC1I"
"Alrex",NULL
"LR","LR1000"
"Tolazamide","TOLA250"
"Soriatane CK","ACI25"
"Pseudoephedrine HCl","PSEU30"
"methaDONE","METH10L"
"Risedronate","RISE35"
"Lidocaine 5% Ointment","LIDO5O"
"Erythromycin Lactobionate","ERY1I"
"Papaverine HCl","PAPA150"
"Etanercept","ENBR25I"
"Fluconazole","FLUC50"
"Gabapentin","GABA300"
"Magnesium Sulfate","MAG2PM"
"Vitamin A","VITA150"
"Allopurinol Sodium","ALLO500I"
"*NF* Deferasirox","DEFE500"
"Divalproex Sodium","DIVA125"
"Sildenafil","SILD20"
"Doxazosin","DOXA4"
"Fluticasone","FLUT16N"
"Oxycodone","PERC"
"ValGANCIclo","VALG50L"
"D12W","D12W250I"
"MEMAntine","MEMA10"
"Aquaphor Ointment","AQUA400O"
"ACETAM","ACET650L"
"Guaifenesin-CODEINE Phosphate","GUAIC120L"
"Chlorhexidine Gluconate","CHLO15L"
"Dexamethasone","MAXI1ES"
"Rosiglitazone Maleate","ROSI2"
"Dornase alfa","DORN2.5PL"
"Ciprofloxacin IV","CIPR400PM"
"Dantrolene Sodium","DANM25"
"Chloroprocaine 2%","CHLORO2"
"Viokase","VIOK"
"Colchicine","COLC6"
"Aztreonam  Desensitization ","AZTR1000ID"
"mycophenolate sodium","MYFO180"
"Ceftaroline","CEFT600I"
"Arsenic Trioxide *NF*","ARSE10I"
"TRAVATAN Z","TRAV004OS"
"Chloroquine","CHLOR250"
"Paroxetine","PARO20"
"Albumin 5% (25 g)","ALBU%500"
"Sodium Bicarbonate 4% (2.4meq)","NEUT1I"
"Phos","PHOS250"
"Dopamine","DOPA200I"
"Propranolol HCl","PROPLA80"
"Neoral","NEOR25"
"Rasagiline",NULL
"NEO*IM*Hepatitis B Vaccine","ACTHIBNEO"
"Bag","VIABAG"
"Clonidine TTS 1 Patch","CLON1P"
"Ergotamine-Caffeine","ERGT1"
"Gemcitabine HCl","GEM1I"
"NEO*PO*Levothyroxine Suspension","LEVO25"
"Fluocinolone 0.01% Cream","SNLR115C"
"RozEREM (ramelteon)",NULL
"5% Dextrose (EXCEL BAG)","D5W250E"
"Lactinex",NULL
"Tacrolimus Suspension","TACR5"
"Sodium Bicarbonate","SODI650"
"halobetasol propionate",NULL
"Desmopressin Acetate","DESM0.1"
"DOPamine","DOPA400I"
"Amaryl","GLIM4"
"Fentanyl","FENT50P"
"*NF* Fenoldopam Mesylate","FELO20I"
"Amaryl","GLIM1"
"Calcium Carbonate Suspension","CALC1250L"
"HydrALAzine","HYDZ10"
"Azathioprine","AZAT37.5HT"
" ",NULL
"Dipivefrin HCl 0.1% ","DIPI1ES"
"Methylprednisolone Na Succ","METH40I"
"ASPIR","ASA325"
"Metoclopramide","METO10PB"
"Promethazine HCl","PROM25R"
"Humalog Insulin","HUMU100I"
"Zomig 2.5mg ODT tabs",NULL
"Galantamine",NULL
"ALBU","ALBU5250"
"Tuberculin Protein","TUBE5I"
"Donepezil","DONEIND"
"Vioxx","ROFE12.5"
"Isosorbide","ISOS10"
"Icaps MV",NULL
"Orthopedic Solution","BACI25/1L"
"Flecainide Acetate",NULL
"cilostaz","CILOS100"
"*NF* Tacrolimus Suspension","TACR5"
"Risperidone Oral Solution","RISP05"
"LANTUS","GLAR100I"
"Zyflo","ZILE600"
"mupirocin","BACT2/15C"
"Vesicare","SOLI5"
"PredniSONE","PRED25"
"Saquinavir (Invirase) Cap","SAQUIN200"
"Ropinirole HCl","ROPI25"
"Bismuth Subsalicylate","PEPTO30"
"5% Dextrose","NOREBASE"
"Critic-Aid Skin Paste","CRIT6T"
"Imatinib Oral Suspension","IMAT400L"
"DILT","TIAZ120"
"Valproate Sodium","VAP500I"
"NS","HESPBASE"
"Dexamethas","DEXA5"
"Gabapentin","GABA100"
"Valganc","VALG50L"
"Pyridoxine","PYRI25"
"Combivent","COMB14.7H"
"PredniSONE","PRED50"
"FiberCon",NULL
"Durezol 0.05% drops",NULL
"valpro","VAL250L"
"Diprivan","PROP500I"
"Sulfameth","BACT20L"
"Revatio","DAPI0.5ES"
"Albuterol-Ipratropium","COMB14.7H"
"Anidulafungin","ANID100I"
"Fluticasone-Salmeterol",NULL
"Metronidazole cream 1%","METR1G"
"Patanol","OLOP.1ES"
"NEO*IV*Fentanyl","FENT5I"
"NS","CIMBASE"
"Pyridostigmine Bromide","PYRI60L"
"Sutent",NULL
"Stavudine","D4T15"
"Ranitidine","ZAN15L"
"Albumin ","ALBU5250"
"Synarel nasal spray",NULL
"Penicillin G Benzathine","PCNGB240I"
"Acetic Acid Otic","DOME"
"Clonazepam","CLON1"
"Epinephrine Base","EPIS10I"
"NS Epidural Bag","EPIBAGH20"
"Sodium CITRATE 4%","SODCITABL"
"Clarithromycin","BIAX250"
"pred","PREDN5L"
"LEXIPRO","ESCI10"
"Ketamine","KETA200I"
"1","LIDPF1I"
"Anti-Thymocyte Globulin (Rabbit)","THYM25I"
"Lactulose Enema","LACT1000R"
"Levothyroxine Sodium","LEVO100I"
"Bag","5000MLBAG"
"Peppermi","PEPP1"
"Comtan","ENTA200"
"albumin","ALBU5500"
"POTASSIUM CHLORIDE","KCL20PM"
"D5W","DEXTROSE"
"Leuprolide Acetate","LEUP45I"
"Humulin-R Insulin (U-500)","HUMU500I"
"Metronidazole","METR500"
"Hydromorphone","HYDM4"
"NEO*IV*Fat Emulsion","NFAT5"
"Betamethasone Dipro 0.05% Lot.","BETA0.05L"
"Normocarb Dialysis Soln","NORMOCARB"
"Imodium A-D","LOPE2L"
"Midazolam HCl","MIDA5I"
"Glyburide/Metformin (2.5mg-500mg)","GLU25/500"
"Clopidogrel Desensitization","CLOP15L"
"Calcium Replacement (Oncology)",NULL
"NEO*IM*Palivizumab","PALINEO50I"
"Cephalexin","CEPH500L"
"Carbamazepine","CARB300ER"
"Ferric Gluconate","FERR62.5I"
"Fludarabine Phosphate","FLUD50I"
"Vancomycin Desensitization","VANC1.25L"
"Prilosec","OMEP20"
"Albuterol Inhaler","ALBU17H"
"omeprazole","OMEP20"
"Mannitol 20 %","MANN20PM"
"PENTobarbital sodium","NEBU1000I"
"Phenytoin Sodium Extended","DILA30"
"Neo-Synephrine","PHEN1N"
"Heparin Flush (100 units/ml)","HEPA100SYR"
"norethindrone (contraceptive)","NORE.35"
"Scopolamine 0.25% Ophth Soln","SCOP.25ES"
"KCl","KCL40I"
"Potassium Chl 20 mEq / 1000 mL D5LR","KCL20/1000D5LR"
"NEO*IV*Parenteral Nutrition","NTPN"
"Prevident Mint Gel 1.1%","PREV60TP"
"Quinacrine (Bulk)",NULL
"Nicotinic Acid SR","NIAC500SR"
"Insulin Regular Human (U-500)","INSU500I"
"Clindamycin","CLIN900PM"
"Ampicillin-Sulbactam","UNAS1.5I"
"Albumin 25% (12.5g / 50mL)","ALBU25"
"Wellbutrin SR","BUPR150"
"Zovia 1/35E (28)",NULL
"Coenzyme Q10 study drug","COENIND"
"Neoral* Study Medication*","NEOR100IND"
"Disopyramide CR","DISO100CR"
"Aminocaproic","AMIC250L"
"Nephrocaps","MULT5L"
"Amino Acids 5%-Dextrose 15%","AA5D151000I"
"Chloroquine","CHLQ500"
"Omeprazole",NULL
"NEO*PO*Captopril","NEOCAP"
"Glycerin","GLYCSUP"
"Tacrolimus","TACR1"
"Amantadine","AMAN100L"
"ZYPREX","OLAN5DTB"
"Fenofibrate Micronized","FENO160"
"Erythromycin",NULL
"Lidocaine 1%/Epinephrine 1:100000","LIEPI20I"
"Benazepril HCl","BENA10"
"Metoprolol ","TOPR100"
"Vancomycin Oral Liquid","VANC125L"
"Enoxaparin Sodium","ENOX80I"
"Lipram-PN20",NULL
"levosimendan or placebo",NULL
"Rufinamide","RUFI200"
"Bivalirudin","BIVA250I"
"Dexamethasone","DEXA5"
"mycophenolate mofetil","MYCOIND"
"Caspofungin *NF*","CANC70I"
"charcoal","CHAR50L"
"Potassium Chl 40 mEq / 1000 mL NS","KCL40/1000NS"
"Hydrochloric Acid","HCL1MEQ"
"Prednisone","PRED50"
"Delavirdine Mesylate","DELA100"
"Dextrose 5%","D5W150"
"Octreotide Acetate","OCTR50I"
"Hepari","HEPA10MUI"
"Lithium Carbonate","LITHI300L"
"Lotensin","BENA20"
"Transplant Self Medication Program","TSMP"
"Meclizine","MECL125"
"Timolol Maleate 0.25%","TIMO25ES"
"Humatrope",NULL
"dabigatran etexilate","DABI150"
"Tacrolimus Suspension","TACRSUSPBN"
"Formoterol Fumarate",NULL
"Sirolimus","SIRO7L"
"*NF* Levalbuterol Soln","LEVA0.63L"
"Levofloxacin","LEV250"
"Dexametha","DEXA4"
"Paroxetine","PARO30"
"Phenytoi","DILA100"
"GU","GUAI10"
"Maalox/Lidocaine","MAALLIDO120L"
"NEO*PO*Levothyroxine Suspension","NEOLEVO5"
"Vancomycin Enema",NULL
"HydrOXYzine HCl","HYDR25I"
"diclofenac sodium","DICL1ES"
"NEO*SC*Epoetin Alfa","NEOEPO3I"
"Aprepitant","APRE125"
"Fexofenadine",NULL
"Remifentanil","REMI1I"
"NS (Syringe)","NSSYR"
"Methadon","METH1L"
"Lopinavir-Ritonavir","KALE1L"
"Tacrolimus Suspension","TACR1"
"Hydromorphone Hcl","HYDR2"
"Theophylline (Slo-bid) Capsule","SLOBID"
"Venlafaxine","VENF25"
"DOBUTamine","DOBPREM"
"NS","NS100"
"Afrin Sinus","OXYM15"
"Sulfacetamide 10% Ophth. Oint.","BLEP10EO"
"Aminocaproic Acid 25 % Oral Rinse","AMIC250L"
"Hydroxyzine HCl","HYDX25"
"Guaifenesin","GUAI600T"
"Lidocaine 2%","LIDO210AM"
"Divalproex Sodium","DIVA125SP"
"Zovirax","ACYC200"
"Venlafa","VENF25"
"Phenytoin ","PHENY100L"
"RiTONAvir","RITO80L"
"Capt","CAPT125"
"Tegretol XR","CARB100CR"
"Atenolol","ATEN25"
"Bacitracin","BACI15O"
"Terbinafine 1% Spray","TERB1SP"
"Dexamethason","DEXA2"
"Clobetasol Propionate 0.05% Gel","CLOB.05G30"
"Glipizide XL","GLUC5XL"
"Carbamazepine","TEGR200"
"Nitroglycerin ","NTG5P"
"NF*GENTAMICIN SOP",NULL
"Pletal","CILOS100"
"NEO*IV*Indomethacin Sodium","NEOINDOM"
"Terbutaline Sulfate","TERB25"
"Dostinex","CABE0.5"
"Nicotine Lozenge","NICO4L"
"Bactrim Desensitization","BACTDES2"
"sodium bic","NABC50S"
"sodium bi","NABC50S"
"Quinapril","QUIN5"
"Hydromorphone P.F.","HYDR1AMP"
"Mirtazapine","MIRT15SOL"
"Methotrexate","METH1000I"
"hydroxyzine","HYDX25"
"Losartan Potassium","COZA25"
"Phenylephrine HCl","PHEN12SYR"
"NEO*PO*Acetaminophen Drops","ACET100D"
"Aztreonam","AZTR1000FB"
"NiCARdipine","NICA30"
"Mycophenolate","MYCO500T"
"Metformin","METF850"
"Nicoti","NIAC250SR"
"Cymbalta","DULO30"
"Dobutamine Hcl","DOBU250I"
"Metformin","METF500"
"Indomethacin","INDO50"
"Fluphenazine","FLUP125I"
"*NF* Valsartan","VALS80"
"Warfarin","WARF75"
"Lithium Oral Solution","LITHI60L"
"Zaditor (Ketotifen)",NULL
"*NF* Niacin","NIAC500"
"Letairis (Ambrisentan)",NULL
"Meloxicam","MELO7.5"
"Apidra","GLUL100I"
"Piperacillin-Tazobactam","ZOSY2.25I"
"Muco-Fen DM",NULL
"*NF* Ertapenem Sodium","ERTA1I"
"N-Acetylcysteine Study Drug","NACIND"
"Oxycodone-Acetaminophen Elixir","PERC"
"Oxacillin","OXA10I"
"Simvastatin or placebo","SIMVIND"
"Sulfamethoxazole/Trimethoprim","BACTNEO"
"Byetta (Exenatide)",NULL
"Isosorbide","IMDU30"
"5% Dextrose","D5W500G"
"Asp","ASPIDESEN"
"Aztreonam","AZTR1000I"
"bimatoprost",NULL
"Ibuprofen Suspension","IBU5S"
"Azelastine HCl",NULL
"Gentamicin","GENT01C"
"Morphine Sulfate","MORP4-10"
"*nfFloxin","OFLO0.3ES"
"Ferrous Gluconate","FERR300L"
"Candesartan",NULL
"Valium","DIAZ10I"
"LevoFLOXacin","LEV250"
"Lidocaine 1%","LIDO1/10I"
"Sulfameth/Trimethoprim","BACT20L"
"Patient Specific Narc Drip","PSND"
"Xenazine",NULL
"Megestrol Acetate","MEGE200L"
"Insulin Human Regular","INNHI"
"Phyton","PHYT10I"
"Propranolol",NULL
"Pyridostigmine Bromide","PYRI60SYR"
"multi","MVI"
"DAUNOrubicin","DAUN20SYR"
"HYDROmorphone","HYDRO4I"
"D5W","D5W50"
"guaiFENesin","GUAI10"
"Raltegravir 400mg tablet","RALT400IND"
"Combigan",NULL
"Sulfameth/Trimethoprim ","BACT20L"
"Divalproex ","DIVA1750L"
"Normocarb Dialysate","NORMOCARB2"
"Lactinex","LACT1"
"Critic-Aid Clear AF","CRIT6T"
"Prismasate (K 2)","PRISMAK5000"
"0.9% Sodium Chloride","NICABAGNS"
"Ortho Tri-Cyclen (28)",NULL
"Streptomycin Sulfate","STRE1I"
"Meropenem","NEOMERO"
"Cyclophosphamide","CYCL25"
"IRESSA",NULL
"Bupivacaine 0.05%","BUPI0.05EPD"
"NEO*PO*Ca Glubionate 23mg Ca/ml","NEOCAL"
"Venlafaxi","VENL375XR"
"Clarithromycin","CLAR250L"
"HYDROmorphone Solution",NULL
"Tretinoin (Chemotherapy)","TRET10C"
"dutasteride",NULL
"Calcitriol","CALC.5"
"NS        (Glass Bottle)","NS250G"
"Liothyronine Sodium","LIOT50"
"Carbamazepine ","CARB100T"
"Avalide",NULL
"Prochlorperazine (Rectal)","PROC25R"
"Albumin 5","ALBU5500"
"Pyrimethamine Desensitization","PYRI10/100L"
"insulin","INSUPUMP"
"Amitriptyline HCl","AMIT25"
"ValGANCIclovi","VALG50L"
"Levalbuterol Neb","LEVA0.63L"
"Acetazolamide","ACE500"
"CycloSPORINE (Sandimmune)","CSA100"
"Pilocarpine HCl","PILO5"
"Etanercept","ENTA50I"
"Doxazosin","DOXA8T"
"FUROSEMIDE","FURO40I"
"Triethanolamine Solution","TRIE6L"
"Polyvinyl Alcohol","ARTTS"
"Fluticasone-Salmeterol Diskus (250/50) ","ADVA250IH"
"Esmolol","ESMO100I"
"Haloperidol Decanoate","HALD100I"
"Candesartan Cilexetil","CAND4"
"Mannitol 20 %","MANN100I"
"Clotrimazole","CLOT10T"
"iso","ISMO10"
"bisop","BISO5"
"Methadone HCl","METH10I"
"Granulex",NULL
"Anastrozole","ANAS1"
"Phenobarbital Elixir","PB30EL"
"Risperidone","RISP2"
"Glatiramer Acetate","GLAT20I"
"Ziprasidone Hydrochloride","ZIPR60"
"Guaifenesin","GGAC5L"
"isos","IMDU60"
"Fluocinonide 0.05% Cream","LIDX60C"
"Ketamine HCl","KETA100SYR"
"Opium Tincture","DTOBULK"
"glimepiride","GLIM2"
"Megestrol Acetate","MEGE400L"
"Secretin",NULL
"Syringe (PD)","SYRINGEPD"
"Mexiletine HCl","MEXI200"
"Fish Oil (Omega 3)","FISH1000"
"Avapro","IRBE150"
"Nitroglycerin","NITR02O"
"Nicardipine HCl","NICA20"
"multivitamin","MVI"
"D25W","D25W250I"
"sulfa","BACT20L"
"Quetiapine extended-release","QUET50XR"
"Acetaminophen w/Codeine","T3"
"Creon 12","CREON12"
"iron","NIFR150"
"predn","PREDN5L"
"D5W","DOBUBASE"
"Budesonide-Formoterol",NULL
"Quetiapine Fumarate","QUET12.5HT"
"NEO*PR*Acetaminophen","ACETSP"
"Ceftriaxone","CEFX2F"
"HydrOXYzine","HYDX25"
"maalox",NULL
"Metoclopramide Hcl","METO10I"
"FTY720 2.5MG OR PLACEBO","FTY7202.5IND"
"Hyoscy","HYOS.375"
"Pancrelipase 4500","PANCEC"
"Mesalamine Enema","MESA4R"
"Divalproex (EXTended Release)","DEPA500ER"
"Lorazepam","LORA5L"
"Fluticasone/Salmeterol (Advair)",NULL
"Choline Magnesium Trisalicylate","CHOL750"
"Propranolol","PROP10"
"Clonazepam","CLON5"
"Norepinephrine","LEVO4I"
"bupropion","BUPR150"
"*NF* Pregabalin","PREG25"
"Foradil Aerolizer","FORM12H"
"Hydroxyzine HCl","HYDX10"
"Trimethobenzamide HCl","TRIM100I"
"Aralast",NULL
"Isosorbide ","IMDU60"
"Azathioprine Sodium","AZA100I"
"Metoprolol","FURO40I"
"Neutra","NEUT"
"Cyclophosphamide","CYCL100I"
"Alprostadil","ALPR500I"
"Methylprednisolone Sodium Succ","MPRED5I"
"Saccharomyces BOULARDII",NULL
"HYDROmorphone (Dilaudid)","HYDR20/100NS"
"Fentanyl Patch","FENT12.5P"
"Anagrelide HCl","ANAG500"
"Medroxyprogesterone Acetate","MEDR150I"
"PHENObarbital","PB30EL"
"REVLIMID",NULL
"reva","SILD20"
"bicalutamide",NULL
"sevelamer CARBONATE","SEVE400"
"Amlodipine Besylate","AMLO25"
"hydrocor","HC100I"
"Propranolol Oral Solution","PROP20L"
"PROCARDIA XL","NIFXL30"
"leva","LEVA0.63L"
"BACTRIM","BACTDS"
"Mesala","MESA4R"
"Nabumetone","NABU750"
"Zetia",NULL
"fluconazole","FLUC100"
"Acetylcysteine 20%","ACET20/4I"
"traz","TRAZ50"
"Debrox 6.5%","GLYO65OT"
"OLANZapine","OLAN10"
"Cefuroxime Sodium","CEF750I"
"Lidoca","LIDO45I"
"Phenobarbital","PENT50S"
"Leuprolide Acetate",NULL
"Glipizide","GLUC2.5XL"
"Phenobarbital","PB30EL"
"Timolol Maleate 0.5%","TIMO5ES"
"Methadone PCA","METH25PCA"
"guai","GUAI10"
"Papain-Urea Spray","ACCUSPAY"
"Isosorb","IMDU30"
"Benicar",NULL
"Toprol XL","TOPR100"
"METOCLOPRAMIDE","METO10"
"Phillips Milk of Magnesia",NULL
"Norepinephrine Bitartrate","NORE1600SYR"
"Meperi","MEPE50I"
"risendronate (actonel)",NULL
"Bismuth Subsalicylate","PEPTOBIS"
"Vitamin E","VITE1000"
"Lidocaine 1% P.F.","LIDOPF130I"
"Lunesta (eszopiclone)",NULL
"Exemestane","EXEM25"
"Sodium Chloride","NACLFLUSH"
"HYDROmorphone-HP","DILHP50I"
"Sterile Water","SW3000"
"Neo*Nasal*Sodium Chloride 0.9%","NEONS"
"Docusate Sodiu","DOCU100"
"arti","REFRESH"
"Camila",NULL
"Warfarin","WARF1"
"levothyroxine","LEVO100"
"arginine (L-arginine)",NULL
"Emtriva","EMTR200"
"Refresh P.M.","REFRESH"
"Mexiletine","MEXI200"
"Sulindac","SULI200"
"Pregabalin","PREG25"
"hydromorphone",NULL
"Letrozole","LETR2.5"
"Albumin 5% (25g / 500mL)","ALBU5500"
"pramoxine","PRAM1L"
"morphine","MOR10L"
"Fentora","FENT100T"
"Memantine HCl","MEMA5"
"Ciprofloxacin in D5W","CIPR200PM"
"metaxalone","META800"
"Loestrin 24 Fe",NULL
"Peg-Intron",NULL
"Alphagan P","ALPH0.15O"
"Cytarabine","CYTA100I"
"Racepinephrine","RACE0.5H"
"0.9% Sodium Chloride","NS100"
"Famo","PEPC20"
"imd","IMDU30"
"Diazepam","DIAZ10I"
"Sildenafil (Revatio)",NULL
"Ayr Saline Gel",NULL
"mucine","GUAI600T"
"basis soap",NULL
"FoLIC","FOLI1"
"Morphine Sulfate (Immediate Release)","MORP15"
"Zelnorm",NULL
"Donnatol","BELL5L"
"tetrabenazine (Xenazine) 25mg tab",NULL
"AMICAR","AMIN500"
"ESCITALOPRAM",NULL
"Acetaminophen (Liquid)","ACET650L"
"Estazolam",NULL
"Estrogens Conjugated","CONJ625V"
"BRINZOLAMIDE (Azopt)",NULL
"Fluoxetine HCl","FLUO20L"
"Ziprasidone","ZIPR60"
"Rizatriptan","RIZA10"
"Acamprosate","ACAM333"
"Peppermint Oil",NULL
"Ziprasidone HCl","GEOD80"
"Papain","PAPAIN2"
"NEO*IV*Caffeine Citrate","CAFFCIT60I"
"Valdecoxib/placebo","VALDIND"
"Aspirin-Caffeine-Butalbital","FIOR"
"Doxercalciferol","DOXE0.5"
"Adderall","ADDE5"
"cyanocobalamin (vitamin B-12)",NULL
"POTassium Chloride","NEOKCL1.3L"
"Lamivudine","LAMI10L"
"dilt","TIAZ120"
"FoLIC Acid","FOLI5I"
"Soln","SOLN300I"
"triazolam","TRIA25"
"Tobramycin-Dexamethasone Ophth Susp","TBDX2.5O"
"Humalog 75/25 Pen",NULL
"Vancomycin Desensitization","VANC.00125L"
"Oxcarbazepine","OXCA600"
"Pramoxine-Mineral Oil-Zinc","ANUS1O"
"Domperidone (Bulk)",NULL
"CGT003-03 E2F decoy","DECOYIND"
"Sulfameth/Trimethoprim Suspension","BACT20L"
"Pulmicort","BUDE0.5"
"Loperamide HCl","LOPE1/7.5L"
"Ascorbic Acid","ASCOR504L"
"Ferrous Sulfate (Liquid)","FERR300L"
"Triamcinolone 0.1% Cream","TRIA.1/80C"
"Rosiglitazone Maleate","ROSI8"
"Tropicamide 1 %","TROP1ES"
"Acyclovir","ACY5O"
"AndroGel","TEST2.5"
"Ziprasidone","ZIPR20I"
"Vancomycin fortified opthalmic",NULL
"HYDROmorphone PCA (Dilaudid)","HYD12.5PCA"
"Clonidine HCl","CLON1P"
"NEO*PR*Acetaminophen","ACET120R"
"Pentamidine Inhalation","PENT300H"
"Humibid",NULL
"Isosorbide Mononitrate (Extended Release)","IMDU60"
"sodiu","NABC50I"
"Lorazepam 2 mg syringe ","SEPLORA2I"
"Fentanyl Citrate","FENT500I"
"ketorolac","KETO.5ES"
"Bactrim Desensitization","BACTDES5"
"Ciprofloxacin HCl","CIPR750"
"Tolvaptan/Placebo","TOLVIND"
"Epoetin Alfa","EPO2I"
"FTY720 1.25MG OR PLACEBO CAPSULE","FTY7201.25IND"
"Ciprofloxacin Hcl","CIPR500"
"SW","SW100"
"*NF* Adefovir (HepSera)",NULL
"Potassium Iodide","KIODIL"
"Metoprolol XL","TOPR100"
"*NF* Basiliximab","SIMU20I"
"Nifed","ADAL90"
"Raloxifene HCl","RALO60"
"Propafenone HCl","PROP150"
"Pioglitazone HCl","PIOG15"
"Dexame","DEXA10I"
"Insulin Pump (Self Administering Medication)","NOVO100P"
"Mupirocin Cream 2%","BACT2/15C"
"AZILECT(rasagilne)",NULL
"MULTIVITAMIN LIQUID","MULT5L"
"Oxacillin Desensitization","OXACDESEN"
"Latuda (Lurasidone)",NULL
"Diltiazem","DILT125I"
"Niaspan","NIAC100"
"Megestrol ","MEGE40"
"Interferon Alfacon-1","INTE9I"
"Nicotine","NICO14P"
"Estratest H.S.","ETHSTAB"
"Aripiprazole",NULL
